SKU,Format,Color,Diecut,Refinement
CLG01SW,F020,C16,D00,
CLG01SW,F020,C16,D01,
CLG01SW,F020,C16,D02,
CLG01SW,F040,C16,D00,
CLG01SW,F040,C16,D01,
CLG01SW,F040,C16,D02,
EF01,EF01,EC010,,
CLG01EA,F210,C04,,
TEO02GG,F040,C14,D00,
TEO02GG,F040,C14,D01,
TEO02GG,F040,C14,D02,
TEO02GG,F060,C14,,
TEO02GG,F160,C14,,
LIG01GG,F030,C03,,
LIG01GG,F040,C03,,
LIG04HE,F030,C01,,
LIG04HE,F101,C01,,
LIG04HE,F151,C01,,
LIG04HD,F030,C08,,
LIG04HD,F151,C08,,
LIG04HS,F010,C01,,
LIG04HK,F221,C08,,
LIG04HM,F220,C08,,
LIG03GG,F030,C01,D00,
LIG03GG,F030,C01,D01,
LIG03GG,F030,C01,D02,
LIG03GG,F040,C01,D00,
LIG03GG,F040,C01,D01,
LIG03GG,F040,C01,D02,
LIG03GG,F051,C01,,
LIG02GG,F030,C09,D00,
LIG02GG,F030,C09,D01,
LIG02GG,F030,C09,D02,
LIG02GG,F060,C09,,
LIG02GG,F151,C09,,
FRM01GG,F030,C04,D00,
FRM01GG,F030,C04,D01,
FRM01GG,F030,C04,D02,
FRM01GG,F040,C04,D00,
FRM01GG,F040,C04,D01,
FRM01GG,F040,C04,D02,
FRM01GG,F063,C04,,
FRM02GG,F040,C03,,
FRM02GG,F060,C03,,
FRM02GG,F151,C03,,
FRM03GG,F040,C16,,
FRM03GG,F060,C16,,
FRM03GG,F062,C16,,
FRM04GG,F020,C11,D00,
FRM04GG,F020,C11,D01,
FRM04GG,F020,C11,D02,
FRM04GG,F040,C11,D00,
FRM04GG,F040,C11,D01,
FRM04GG,F040,C11,D02,
FRM04GG,F060,C11,,
FRM05SW,F020,C01,D00,
FRM05SW,F020,C01,D01,
FRM05SW,F020,C01,D02,
FRM05SW,F040,C01,D00,
FRM05SW,F040,C01,D01,
FRM05SW,F040,C01,D02,
FRM05SW,F082,C01,,
FRM06GG,F030,C08,D00,
FRM06GG,F030,C08,D01,
FRM06GG,F030,C08,D02,
FRM06GG,F050,C08,,
TEO01GG,F030,C03,D00,
TEO01GG,F030,C03,D01,
TEO01GG,F030,C03,D02,
MEH01GG,F030,C05,D00,
MEH01GG,F030,C05,D01,
MEH01GG,F030,C05,D02,
MEH01GG,F040,C05,D00,
MEH01GG,F040,C05,D01,
MEH01GG,F040,C05,D02,
MEH01GG,F051,C05,,
LIG05HE,F030,C25,,
LIG05HE,F151,C25,,
LIG05HE,F190,C25,,
LIG05HD,F030,C12,,
LIG05HD,F151,C12,,
LIG05HS,F020,C12,D00,
LIG05HS,F020,C12,D01,
LIG05HS,F020,C12,D02,
LIG05HK,F221,C12,,
LIG05HM,F220,C12,,
EF02,EF02,EC010,,
TEO03HE,F030,C12,,
TEO03HE,F101,C12,,
TEO03HE,F151,C12,,
TEO03HD,F030,C02,,
TEO03HS,F010,C06,,
TEO03HK,F221,C06,,
TEO03HM,F220,C06,,
LIG01EA,F210,C08,,
LIG02EA,F210,C09,,
LIG03EA,F210,C12,,
LIG04EA,F210,C01,,
LIG05EA,F210,C12,,
TEO01EA,F210,C03,,
TEO02EA,F210,C14,,
TEO03EA,F210,C06,,
MEH01EA,F210,C03,,
FRM01EA,F210,C04,,
FRM02EA,F210,C03,,
FRM03EA,F210,C12,,
FRM04EA,F210,C11,,
FRM05EA,F210,C01,,
FRM06EA,F210,C08,,
MEH03GG,F030,C11,,
MEH03GG,F040,C11,,
MEG01GG,F030,C03,D00,
MEG01GG,F030,C03,D01,
MEG01GG,F030,C03,D02,
MEG01GG,F050,C03,,
MEG01GG,F151,C03,,
MEG02GG,F040,C16,,
MEG02GG,F151,C16,,
MEG03GG,F020,C14,,
MEG03GG,F040,C14,,
MEH03EA,F210,C10,,
MEG01EA,F210,C13,,
MEG02EA,F210,C01,,
MEG03EA,F210,C07,,
KAM05SW,F040,C01,D00,
KAM05SW,F040,C01,D01,
KAM05SW,F040,C01,D02,
KAM06SW,F020,C22,D00,
KAM06SW,F020,C22,D01,
KAM06SW,F020,C22,D02,
KAM06SW,F040,C22,D00,
KAM06SW,F040,C22,D01,
